Loadcase/Frequency
Loadcase,Eigen Mode-Y
,85.445,-0.015726
,86.787,0.0240997
,87.326,-0.00124007
,89.4985,0.000565904
,89.6172,0.0139919
,92.0527,0.00962264
,93.827,-0.000114563
,97.1972,-0.000731798
,97.8548,0.0015558
,99.2412,-0.00184463
,99.9553,0.0189123
