Loadcase/Frequency
Loadcase,Eigen Mode-Y
1331288,13.1725,0.000523195
,14.202,-0.0148568
,17.899,-0.0215064
,18.2176,0.016205
,20.8101,-0.00800959
,21.9768,0.00646481
,25.2076,-0.0059566
,26.0408,5.66751e-05
,26.7245,-0.0152807
,29.5885,-0.0149337
,30.2952,-0.0089086
,35.0594,0.00528454
,36.5251,0.00252318
,40.2821,0.000858065
,40.4429,-0.0136492
,41.7889,-0.0119974
,44.1545,0.00333023
,45.2973,0.0214204
,47.8055,0.00321186
,48.4276,-0.00178551
,49.2908,-0.00290159
,50.7466,0.00142463
,52.5241,0.0098115
,57.2578,0.00435364
,62.2457,0.00627739
,62.465,0.0029849
,64.2981,-0.00668022
,64.9729,-0.00300037
,66.107,0.00156331
,66.9148,-0.00147851
,67.9321,-0.00409922
,73.2667,-0.000131702
,73.6471,-0.00591607
,75.1951,-0.00284945
,76.3107,0.000522574
,77.9703,0.00264955
,78.6271,0.000920945
,80.1933,0.00131016
,81.0863,-0.00326692
,83.3348,0.000588532
,84.7171,0.000482088
,85.445,0.00746019
,86.787,0.00222036
,87.326,-0.0266474
,89.4985,-0.0207918
,89.6172,0.00309314
,92.0527,0.00271483
,93.827,0.000152929
,97.1972,-0.000637654
,97.8548,0.00517338
,99.2412,-0.00207757
,99.9553,-0.00287335
1336748,13.1725,0.000467377
,14.202,-0.0147538
,17.899,-0.0214131
,18.2176,0.0160417
,20.8101,-0.00826092
,21.9768,0.00639158
,25.2076,-0.00603575
,26.0408,0.000194545
,26.7245,-0.0151446
,29.5885,-0.0147063
,30.2952,-0.00811498
,35.0594,0.0066347
,36.5251,0.00221419
,40.2821,0.000953241
,40.4429,-0.0139766
,41.7889,-0.0123016
,44.1545,0.00414903
,45.2973,0.0218355
,47.8055,0.00318191
,48.4276,-0.000831292
,49.2908,-0.00291046
,50.7466,0.00168716
,52.5241,0.010246
,57.2578,0.00425452
,62.2457,0.00747751
,62.465,0.003084
,64.2981,-0.00690597
,64.9729,-0.00366497
,66.107,0.00163245
,66.9148,-0.00110999
,67.9321,-0.00420664
,73.2667,-0.000624449
,73.6471,-0.00572602
,75.1951,-0.00344762
,76.3107,0.00101568
,77.9703,0.000622216
,78.6271,0.000745511
,80.1933,0.0013879
,81.0863,-0.00299894
,83.3348,0.000620257
,84.7171,0.000460763
,85.445,0.00746715
,86.787,0.00233412
,87.326,-0.0278884
,89.4985,-0.0216782
,89.6172,0.00297414
,92.0527,0.00307794
,93.827,0.00015947
,97.1972,-9.86094e-05
,97.8548,0.00284139
,99.2412,-0.00172971
,99.9553,-0.00336068
1331284,13.1725,0.00051633
,14.202,-0.0148437
,17.899,-0.0214947
,18.2176,0.016187
,20.8101,-0.00803928
,21.9768,0.00645591
,25.2076,-0.00596622
,26.0408,7.32032e-05
,26.7245,-0.0152646
,29.5885,-0.0149071
,30.2952,-0.00882103
,35.0594,0.00544166
,36.5251,0.00248747
,40.2821,0.000868334
,40.4429,-0.0136845
,41.7889,-0.0120317
,44.1545,0.003425
,45.2973,0.0214659
,47.8055,0.00320656
,48.4276,-0.00167255
,49.2908,-0.0029026
,50.7466,0.00145262
,52.5241,0.00986036
,57.2578,0.0043406
,62.2457,0.00640594
,62.465,0.00299557
,64.2981,-0.00670768
,64.9729,-0.00307834
,66.107,0.00157143
,66.9148,-0.00143537
,67.9321,-0.00411258
,73.2667,-0.000188243
,73.6471,-0.00588942
,75.1951,-0.00291889
,76.3107,0.000582557
,77.9703,0.00242055
,78.6271,0.000899055
,80.1933,0.00131894
,81.0863,-0.00323727
,83.3348,0.000594063
,84.7171,0.000477608
,85.445,0.00745745
,86.787,0.002236
,87.326,-0.0267896
,89.4985,-0.0208942
,89.6172,0.00307518
,92.0527,0.00276131
,93.827,0.000153678
,97.1972,-0.000572089
,97.8548,0.00490125
,99.2412,-0.00203672
,99.9553,-0.00293248
1331285,13.1725,0.000495288
,14.202,-0.0148053
,17.899,-0.0214597
,18.2176,0.0161234
,20.8101,-0.00813528
,21.9768,0.00642817
,25.2076,-0.00599622
,26.0408,0.000125657
,26.7245,-0.0152127
,29.5885,-0.0148199
,30.2952,-0.00851192
,35.0594,0.00595962
,36.5251,0.00236866
,40.2821,0.000905641
,40.4429,-0.0138129
,41.7889,-0.0121496
,44.1545,0.0037397
,45.2973,0.0216278
,47.8055,0.00319681
,48.4276,-0.00130831
,49.2908,-0.00290602
,50.7466,0.00155589
,52.5241,0.0100287
,57.2578,0.00430396
,62.2457,0.00687714
,62.465,0.00303442
,64.2981,-0.00679311
,64.9729,-0.00333266
,66.107,0.00159786
,66.9148,-0.0012942
,67.9321,-0.00415295
,73.2667,-0.000378092
,73.6471,-0.00582092
,75.1951,-0.00314865
